studentId,subject,chaptersCompleted,totalChapters,currentTopic,timeSpent,lastAccessed,progressPercent,strengthAreas,improvementAreas
STU-1-001,Mathematics,8,12,Addition with Carry Over,15.5,2025-01-06,67,Number Recognition|Basic Operations,Problem Solving|Speed
STU-1-001,English,10,12,Reading Comprehension,12.3,2025-01-05,83,Vocabulary|Pronunciation,Grammar|Writing
STU-1-001,EVS,7,10,Our Environment,10.2,2025-01-04,70,Observation|General Knowledge,Scientific Reasoning
STU-1-002,Mathematics,11,12,Subtraction Basics,18.7,2025-01-06,92,Mental Math|Speed,Application Problems
STU-1-002,English,12,12,Story Writing,15.4,2025-01-06,100,Creative Writing|Reading,Handwriting
STU-1-002,EVS,9,10,Plants Around Us,12.1,2025-01-05,90,Curiosity|Experiments,Documentation
STU-1-003,Mathematics,6,12,Number Patterns,11.2,2025-01-05,50,Basic Counting,Logic|Attention Span
STU-1-004,Mathematics,9,12,Shapes and Patterns,14.8,2025-01-06,75,Geometry|Visual Learning,Abstract Thinking
STU-1-005,Mathematics,7,12,Counting and Numbers,13.1,2025-01-06,58,Basic Operations,Speed|Accuracy
STU-2-006,English,10,14,Poetry and Rhymes,16.2,2025-01-06,71,Recitation|Expression,Writing|Spelling
STU-2-007,English,8,14,Sentence Formation,14.5,2025-01-05,57,Vocabulary,Grammar|Fluency
STU-2-008,English,13,14,Story Comprehension,19.8,2025-01-06,93,Reading|Understanding,Speed|Expression
STU-2-009,English,11,14,Letter Writing,17.3,2025-01-06,79,Grammar|Presentation,Creative Ideas
STU-2-010,English,12,14,Paragraph Writing,18.1,2025-01-06,86,Vocabulary|Structure,Handwriting
STU-3-011,Science,12,15,Simple Machines,20.5,2025-01-06,80,Practical Knowledge|Experiments,Theory|Documentation
STU-3-012,Science,10,15,Plants and Animals,18.2,2025-01-05,67,Observation|Classification,Scientific Terminology
STU-3-013,Science,14,15,Water Cycle,22.8,2025-01-06,93,Understanding|Experiments,Speed
STU-3-014,Science,8,15,Living and Non-living,16.1,2025-01-04,53,Curiosity,Analysis|Retention
STU-3-015,Science,11,15,Weather and Seasons,19.4,2025-01-06,73,General Knowledge,Scientific Method
STU-4-016,Social Studies,13,16,Maps and Directions,21.3,2025-01-06,81,Visual Learning|Memory,Analytical Skills
STU-4-017,Social Studies,15,16,Indian States,24.6,2025-01-06,94,Memory|General Knowledge,Application
STU-4-018,Social Studies,11,16,Our Government,19.8,2025-01-05,69,Interest|Questions,Retention
STU-4-019,Social Studies,9,16,Historical Events,17.4,2025-01-04,56,Curiosity,Memory|Connection
STU-4-020,Social Studies,14,16,Famous Leaders,22.1,2025-01-06,88,Memory|Presentation,Analysis
STU-5-021,Hindi,14,18,कहानी लेखन,23.5,2025-01-06,78,Reading|Grammar,Creative Writing
STU-5-022,Hindi,12,18,व्याकरण,21.2,2025-01-05,67,Rules|Structure,Application
STU-5-023,Hindi,16,18,कविता,26.4,2025-01-06,89,Expression|Recitation,Meaning
